player,position,team,age,birth_year,games,games_starts,games_complete,games_subs,unused_subs,minutes,minutes_per_game,minutes_pct,minutes_90s,minutes_per_start,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub
Mathias Jensen,MF,Denmark,26,1996,2,1,0,1,1,84.0,42.0,31.1,0.9,58.0,0.5,0.0,0.0,0.0,0.0,1.4,0.4,1.0,1.1,0.97,2.16,26.0
Mathías Olivera,DF,Uruguay,25,1997,3,3,1,0,0,253.0,84.0,93.7,2.8,84.0,1.33,2.0,1.0,1.0,0.36,3.5,2.5,1.0,0.35,5.65,4.73,
Matt Turner,GK,United States,28,1994,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.25,3.0,4.0,-1.0,-0.25,4.1,4.4,-0.3,-0.07,,,
Matthew Smith,MF,Wales,23,1999,0,0,0,0,3,,,,,,,,,,,,,,,,,
Matthias Ginter,DF,Germany,28,1994,1,0,0,1,2,1.0,1.0,0.4,0.0,,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,46.61,-0.33,44.55,1.0
Matthijs de Ligt,DF,Netherlands,23,1999,2,1,1,1,3,91.0,46.0,19.0,1.0,90.0,3.0,2.0,0.0,2.0,1.98,0.7,1.0,-0.3,-0.29,1.05,-0.02,1.0
Matty Cash,DF,Poland,25,1997,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.0,3.0,5.0,-2.0,-0.5,4.5,7.3,-2.7,-0.69,,,
Mattéo Guendouzi,FW,France,23,1999,1,1,0,0,6,78.0,78.0,11.8,0.9,78.0,0.0,0.0,1.0,-1.0,-1.15,0.2,0.5,-0.3,-0.35,-2.55,-0.97,
Matías Vecino,MF,Uruguay,31,1991,3,2,0,1,0,195.0,65.0,72.2,2.2,69.0,1.33,0.0,1.0,-1.0,-0.46,1.6,1.7,0.0,-0.01,-1.66,-0.22,57.0
Matías Viña,DF,Uruguay,25,1997,2,0,0,2,1,17.0,9.0,6.3,0.2,,0.5,0.0,1.0,-1.0,-5.29,0.2,1.0,-0.8,-4.38,-5.65,-4.73,9.0
Maxi Gómez,FW,Uruguay,26,1996,2,0,0,2,1,30.0,15.0,11.1,0.3,,1.5,0.0,1.0,-1.0,-3.0,0.6,1.6,-0.9,-2.77,-3.37,-3.17,15.0
Maya Yoshida,DF,Japan,34,1988,4,4,4,0,0,390.0,98.0,100.0,4.3,98.0,1.75,5.0,4.0,1.0,0.23,5.0,5.7,-0.7,-0.17,,-0.17,
Mehdi Taremi,FW,IR Iran,30,1992,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,4.0,7.0,-3.0,-1.0,3.2,4.2,-0.9,-0.32,,,
