player,position,team,age,club,birth_year
Harry Wilson,MF,Wales,25,Fulham,1997
Hassan Al Tambakti,DF,Saudi Arabia,23,Al-Shabab,1999
Hassan Al-Haydos,MF,Qatar,32,Al Sadd SC,1990
Hattan Bahebri,MF,Saudi Arabia,30,Al-Shabab,1992
Henry Martín,FW,Mexico,30,AmÃ©rica,1992
Hernán Galíndez,GK,Ecuador,35,SD Aucas,1987
Hidemasa Morita,MF,Japan,27,Sporting CP,1995
Hiroki Ito,DF,Japan,23,Stuttgart,1999
Hiroki Sakai,MF,Japan,32,Urawa Reds,1990
Hirving Lozano,FW,Mexico,27,Napoli,1995
Homam Ahmed,DF,Qatar,23,Al-Gharafa Sports Club,1999
Hong Chul,DF,Korea Republic,32,Daegu,1990
Hossein Hosseini,GK,IR Iran,30,Esteghlal,1992
Hossein Kanaanizadegan,DF,IR Iran,28,Al Ahli SC,1994
Hugo Lloris,GK,France,35,Tottenham,1986
Hwang Hee-chan,MF,Korea Republic,26,Wolves,1996
Hwang In-beom,MF,Korea Republic,26,Olympiacos,1996
Hwang Ui-jo,FW,Korea Republic,30,Olympiacos,1992
Héctor Herrera,MF,Mexico,32,Houston Dynamo,1990
Héctor Moreno,DF,Mexico,34,Monterrey,1988
Ibrahima Konaté,DF,France,23,Liverpool,1999
Idrissa Gana Gueye,MF,Senegal,33,Everton,1989
Ilias Chair,MF,Morocco,25,QPR,1997
Iliman Ndiaye,FW,Senegal,22,Sheffield Utd,2000
Ismail Jakobs,DF,Senegal,23,Monaco,1999
Ismail Mohamad,FW,Qatar,32,Al Duhail SC,1990
Ismaila Sarr,FW,Senegal,24,Watford,1998
Ismaël Koné,MF,Canada,20,CF MontrÃ©al,2002
Issam Jebali,FW,Tunisia,30,Odense,1991
Ivan Ilić,MF,Serbia,21,Hellas Verona,2001
Ivan Perišić,FW,Croatia,33,Tottenham,1989
Iñaki Williams,FW,Ghana,28,Athletic Club,1994
Jack Grealish,FW,England,27,Manchester City,1995
Jackson Irvine,MF,Australia,29,St. Pauli,1993
Jackson Porozo,DF,Ecuador,22,Troyes,2000
Jakub Kamiński,MF,Poland,20,Wolfsburg,2002
Jakub Kiwior,DF,Poland,22,Spezia,2000
Jamal Musiala,MF,Germany,19,Bayern Munich,2003
Jamie Maclaren,FW,Australia,29,Melb City,1993
Jan Bednarek,DF,Poland,26,Aston Villa,1996
Jan Vertonghen,DF,Belgium,35,Anderlecht,1987
Jason Cummings,FW,Australia,27,Central Coast,1995
Jawad El Yamiq,DF,Morocco,30,Valladolid,1992
Jean-Charles Castelletto,DF,Cameroon,27,Nantes,1995
Jeong Woo-yeong,MF,Korea Republic,23,Freiburg,1999
Jeremy Doku,MF,Belgium,20,Rennes,2002
Jeremy Sarmiento,MF,Ecuador,20,Brighton,2002
Jerome Ngom Mbekeli,MF,Cameroon,24,Colombe Sportive du Dja et Lobo,1998
Jesper Lindstrøm,MF,Denmark,22,Eint Frankfurt,2000
Jesús Ferreira,FW,United States,21,FC Dallas,2000
Jesús Gallardo,DF,Mexico,28,Monterrey,1994
Jewison Bennette,MF,Costa Rica,18,Sunderland,2004
Jhegson Méndez,MF,Ecuador,25,Los Angeles FC,1997
