player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,goals_per_shot_on_target
Aaron Mooy,MF,Australia,32,1990,4.0,0,1,0,0.0,0.25,0.0,0.0,29.1,0.0,0,0,0.0,0.0,0.05,0.0,0.0,
Aaron Ramsey,MF,Wales,31,1990,3.0,0,1,0,0.0,0.34,0.0,0.0,18.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0,
Abdelhamid Sabiri,MF,Morocco,26,1996,2.0,0,3,0,0.0,1.49,0.0,0.0,34.2,1.0,0,0,0.1,0.1,0.04,-0.1,-0.1,
Abdelkarim Hassan,DF,Qatar,29,1993,3.0,0,6,0,0.0,2.0,0.0,0.0,23.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,
Abderrazak Hamdallah,FW,Morocco,32,1990,0.8,0,2,1,50.0,2.65,1.32,0.0,7.8,0.0,0,0,0.4,0.4,0.2,-0.4,-0.4,0.0
Abdessamad Ezzalzouli,FW,Morocco,21,2001,1.0,0,1,0,0.0,0.97,0.0,0.0,13.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Abdou Diallo,DF,Senegal,26,1996,3.7,0,1,0,0.0,0.27,0.0,0.0,15.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,
Abdul Fatawu Issahaku,FW,Ghana,18,2004,0.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Abdulaziz Hatem,MF,Qatar,32,1990,2.2,0,1,1,100.0,0.46,0.46,0.0,27.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,0.0
Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,2.0,0,1,0,0.0,0.49,0.0,0.0,10.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Abdulellah Al-Malki,MF,Saudi Arabia,28,1994,1.9,0,2,0,0.0,1.03,0.0,0.0,21.1,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Abdullah Madu,DF,Saudi Arabia,29,1993,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,1995,0.4,0,1,0,0.0,2.57,0.0,0.0,4.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Abolfazl Jalali,DF,IR Iran,24,1998,0.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Achraf Dari,DF,Morocco,23,1999,2.1,1,1,1,100.0,0.48,0.48,1.0,4.1,0.0,0,0,0.6,0.6,0.63,0.4,0.4,1.0
Achraf Hakimi,DF,Morocco,24,1998,7.0,0,4,1,25.0,0.57,0.14,0.0,26.5,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,0.0
Adrien Rabiot,MF,France,27,1995,5.4,1,9,4,44.4,1.68,0.75,0.11,13.3,0.0,0,0,1.1,1.1,0.12,-0.1,-0.1,0.25
Agustín Canobbio,MF,Uruguay,24,1998,0.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ahmad Nourollahi,MF,IR Iran,29,1993,2.5,0,5,1,20.0,2.02,0.4,0.0,29.2,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,0.0
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Aimen Dahmen,GK,Tunisia,25,1997,3.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ajdin Hrustic,MF,Australia,26,1996,0.7,0,1,0,0.0,1.45,0.0,0.0,22.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,
Akram Afif,FW,Qatar,26,1996,3.0,0,2,0,0.0,0.67,0.0,0.0,29.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Alan Franco,MF,Ecuador,24,1998,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Alejandro Balde,DF,Spain,19,2003,1.4,0,1,0,0.0,0.71,0.0,0.0,11.3,0.0,0,0,0.0,0.0,0.05,0.0,0.0,
Aleksandar Mitrovič,FW,Serbia,28,1994,2.9,2,10,3,30.0,3.44,1.03,0.2,14.1,0.0,0,0,1.6,1.6,0.16,0.4,0.4,0.67
Alex Sandro,DF,Brazil,31,1991,2.1,0,1,0,0.0,0.47,0.0,0.0,33.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,
Alex Telles,DF,Brazil,30,1992,0.7,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Alexander Bah,DF,Denmark,25,1997,0.5,0,2,0,0.0,3.91,0.0,0.0,19.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Alexander Djiku,DF,Ghana,28,1994,1.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Alexis Mac Allister,MF,Argentina,23,1998,6.1,1,7,4,57.1,1.15,0.65,0.14,19.3,0.0,0,0,0.7,0.7,0.1,0.3,0.3,0.25
Alexis Vega,FW,Mexico,25,1997,2.1,0,9,2,22.2,4.2,0.93,0.0,21.0,1.0,0,0,0.8,0.8,0.09,-0.8,-0.8,0.0
Ali Abdi,DF,Tunisia,28,1993,2.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
